name,brand,upc,source,created_at,category,alt_group,serving_g,calories,carbs_g,fiber_g,sugar_g,added_sugar_g,sugar_alcohols_g,protein_g,fat_g,sodium_mg,ingredients_text,__display,net_carbs_g,categories_all
Toasted Oats,Simple Truth,11110092656,openfoodfacts,2025-09-09T20:02:38.750840,grain,oats,100.0,384.61538461538,76.923076923077,,5.1282051282051,,,12.820512820513,6.4102564102564,384.61538461538,"ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC WHEAT STARCH, ORGANIC CANE SUGAR, SEA SALT, CALCIUM CARBONATE, TOCOPHEROLS (ANTIOXIDANTS TO MAINTAIN FRESHNESS). CONTAINS: WHEAT.","{'carbs_g': '76.9g', 'fiber_g': 'not listed', 'sugar_g': '5.1g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '12.8g', 'fat_g': '6.4g', 'sodium_mg': '385mg'}",76.923076923077,
Old fashioned whole grain oats,Kroger,11110766557,openfoodfacts,2025-09-09T20:02:14.112532,grain,oats,40.0,150.0,27.0,4.0,1.0,0.0,,5.0,2.5,0.0,"whole grain rolled oats,","{'carbs_g': '27.0g', 'fiber_g': '4.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '0mg'}",23.0,
Spring rolls,Summ,111121112111,openfoodfacts,2025-09-12T18:49:40.659519+00:00,bread,bread,117.0,292.0,33.9,3.51,4.68,,,8.19,14.0,0.0,,"{'carbs_g': '33.9g', 'fiber_g': '3.5g', 'sugar_g': '4.7g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '8.2g', 'fat_g': '14.0g', 'sodium_mg': '0mg'}",30.39,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads
Jasmine Brown Rice,Dynasty,11152156828,openfoodfacts,2025-09-09T20:03:16.264526,grain,rice,100.0,377.77777777778,75.555555555556,,0.0,,,6.6666666666667,0.0,0.0,"JASMINE BROWN RICE. PRODUCT OF THAILAND 0% 0% IMPORTED BY: JFC INTERNATIONAL INC. LOS ANGELES, CA 90040 Amount/serving Sodium Omg Calories 170 Vitamin D 0mcg 0% Calcium 0mg 0% Iron 0.6mg 4% • serving Total Carbohydrate 34g Dietary Fiber 2g Total Sugars Og Includes Og of Added Sugars Protein 3g % Daily Value* 12% 6% 0% Potassium 110mg 29 THAI HOM MALI BROWN R","{'carbs_g': '75.6g', 'fiber_g': 'not listed', 'sugar_g': '0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.7g', 'fat_g': '0g', 'sodium_mg': '0mg'}",75.555555555556,
Green Peas,Kasugai,11152493848,openfoodfacts,2025-09-12T18:35:06.873599+00:00,nut,nuts-seeds,100.0,466.66666666667,63.333333333333,13.333333333333,10.0,,,16.666666666667,16.666666666667,566.6666666666799,,"{'carbs_g': '63.3g', 'fiber_g': '13.3g', 'sugar_g': '10.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '16.7g', 'fat_g': '16.7g', 'sodium_mg': '567mg'}",50.0,nuts-and-seeds
0112111211111,,112111211111,openfoodfacts,2025-09-09T20:06:57.282791,drink,drink,100.0,0.0,,,,,,,,0.0,,"{'carbs_g': 'not listed', 'fiber_g': 'not listed', 'sugar_g': 'not listed', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': 'not listed', 'fat_g': 'not listed', 'sodium_mg': '0mg'}",0.0,
Purified Drinking Water,Aquafina,1210806,openfoodfacts,2025-09-09T20:10:10.913729,drink,drink,100.0,0.0,0.0,,,,,0.0,0.0,0.0,"SODIUM - Amount/ServingL % DV* 'VTotal:Fat Og Sodium Omg Totak$arb, Og Sugars Og ProtAïk0g Not a'iîhificant source of Other nutrients, * Percent Daily Values (DV) are based on a 2,000 calorie djet,","{'carbs_g': '0g', 'fiber_g': 'not listed', 'sugar_g': 'not listed', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '0mg'}",0.0,
Peanut Butter Crunch,Fleischer,123456789012,openfoodfacts,2025-09-12T18:49:02.908178+00:00,bread,bread,66.0,34.9,1.94,0.99,1.94,,,6.99,0.0,25.2,"Unbleached enriched wheat flour [flour, barley malt, niacin (vitamin b3), iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid (vitamin b9)], water, sugar, yeast, wheat gluten, soybean oil, contains 2% or less of the following: salt, dough conditioners (mono - and diglycerides, sodium stearoyl lactylate, ethoxylated mono - and diglycerides, ascorbic acid), calcium propionate and sorbic acid (to retain freshness), yeast nutrients (calcium carbonate, calcium sulfate, monocalcium phosphate, ammonium sulfate), hydrogenated cottonseed oil, ground turmeric, soy lecithin.","{'carbs_g': '1.9g', 'fiber_g': '1.0g', 'sugar_g': '1.9g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '7.0g', 'fat_g': '0g', 'sodium_mg': '25mg'}",0.95,plant-based-foods-and-beverages|plant-based-foods|fruits-and-vegetables-based-foods|cereals-and-potatoes|meats-and-their-products|dried-products|fruits-based-foods|meats|prepared-meats|dried-plant-based-foods|sausages|breads|dried-fruits
Basmati Brown Rice,Sainsburys,1275926,openfoodfacts,2025-09-12T18:38:47.396333+00:00,nut,nuts-seeds,180.0,247.0,55.3,1.26,0.9,,,5.04,0.9,0.018,basmati rice,"{'carbs_g': '55.3g', 'fiber_g': '1.3g', 'sugar_g': '0.9g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '0.9g', 'sodium_mg': '0mg'}",54.04,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|seeds|cereals-and-their-products|cereal-grains|rices|aromatic-rices|indica-rices|long-grain-rices|brown-rices|basmati-rices|brown-basmati-rices
Multiseed Wholemeal Farmhouse Loaf,Sainsbury's,1318180,openfoodfacts,2025-09-12T17:50:06.668396+00:00,cereal,cereal,100.0,270.0,34.2,7.4,4.2,,,12.8,7.5,336.0,"Wholemeal Wheat Flour, Water, Mixed Seeds (14%) (Sunflower Seeds, Brown Linseed, Millet, Poppy Seeds), Wheat Gluten, Sugar, Yeast, Fermented Wheat Flour, Salt, Soya Flour, Rapeseed Oil, Spirit Vinegar, Malted Barley Flour, Malted Wheat Flour, Rye Flour, Palm Oil, Flour Treatment Agent: Ascorbic Acid.","{'carbs_g': '34.2g', 'fiber_g': '7.4g', 'sugar_g': '4.2g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '12.8g', 'fat_g': '7.5g', 'sodium_mg': '336mg'}",26.800000000000004,
